Word
sad,sullen lower black_bile black unfit meritless tiresome lugubriousness mystic cryptical sorry spoilt low sour tearful lyrical mystifying sulky dolourous good-for-naught benighted defective tedious tragical darkness shadow sadness mystical depressed forged dolorous glowering big glum downhearted melancholy spooky badly dispirit bad tragic non-white sinister mysterious night distressing glooming depress blue low-spirited dreary nighttime deject drill occult deep flighty gloomy down_in_the_mouth skittish dull high-risk uncheerful regretful colored unsound dismay tough doleful lyric sombre no-good moody somber saturnine grim press_down drear cheerless downcast morose down speculative oil_production dispirited sad secret wearisome sorrow drab boring dark-skinned uncollectible wickedness nervous coloured tire badness demoralize dark get_down slow cast_down dour orphic gloominess no-count inscrutable deplorable bore pitiful good-for-nothing risky depressing irksome no-account disconsolate plaintive demoralise obscure dismal cryptic deadening dingy sorrowfulness melancholic weeping ho-hum mournful lachrymose drilling spoiled lamentable gloomful unhappiness iniquity
calm,composed unbend appease placid sedate assuasive fluid calm_air docile aristocratical tranquillise withal legato assuage notwithstanding balmy assuredness crackers quiet relax placidity motionless hush smooth_out allay lenify calmness calm aristocratic slack_up dotty settle_down tranquil smoothen pen barmy conciliate nuts politic around_the_bend quietly tranquilize static however cool_down subdued serenity liquid peaceful noneffervescent cool_off even tranquility round_the_bend make_relaxed sang-froid nonetheless fluent whacky distillery calm_down solace spectral restrained placate entitle relieve nevertheless compose all_the_same even_so frame haywire comfort loose blue hushed spiritual ghostly ennoble bats patrician phantasmal lull batty loosen reposeful religious chill coolheaded stillness soothing quiesce kookie silence unlax ghostlike hush_up fruity loopy unagitated serene decompress slow_down cool_it cracked peaceable easy unwind silent passive inactive soundless simmer_down mild console bland loosen_up pipe_down loco suave unexcitable tranquillize poise restful yet unstrain still unruffled daft draw_up shut_up tranquillity Negro_spiritual repose mollify polish cool relaxing steady soothe compile nerveless loony blue-blooded indite muted aplomb slack soft buggy stock-still kooky chill_out quieten bonkers equanimity quiet_down shine unearthly composure relaxed slacken smooth write ease pacify wacky becalm gentle nutty gruntle apparitional
happy,play unaccented clear abstemious campy joyousness ignite alert luminosity lightsome perch wakeful calorie-free celebration well-chosen cheery rosy faint pleasure scant camp swooning ignitor short zippy unhorse delight illumine spanking luminance visible_light lightly Inner_Light Light_Within jocund pleasurable festivity light illuminate sluttish enjoyable joyous mirthful upbeat festal spark cheerful tripping visible_radiation loose gratifying chirpy lite playfulness jovial festive lightheaded glad perky twinkle alight pollyannaish brightness_level light-headed light_up felicitous luminousness weak solemnisation sunny promiscuous solemnization lively sparkle happy gladden easy Christ_Within lightness joy get_off jolly fire_up fun fall illumination illume low-cal rattling lighter brightness light-colored get_down snappy buoyant dismount idle jubilation brisk golden wanton lighting rejoice joyfulness merry gay sport Light clean light_source unclouded igniter fortunate merriment
angry,storm bilk hybridizing track Cross stung angered enrage stormy annoying jumpy crossbreeding span crabby mark furor passionate sore unrestrained get_to raging queer outraged frustrate sick resentful thwart crossbreed grumpy steamed indignant hybridize vexatious furious transversal vex highly_strung nettled harebrained plaguy cult pesky fussy restive bothersome nervy get_over interbreeding pestered vexing irate plaguey disturbed cut_through tempestuous annoy high-strung vexed thwartwise hot edgy rag crabbed irritative mad foil annoyed ireful nettle displease pissed cut_across frantic bother dying interbreed pestering craze pestiferous peeved fury painful excited uptight hybrid enraged wild crossing baffle jittery bad-tempered roiled brainsick unhinged spicy maddened irritating rile irritated red-hot crazy displeased nervous riled transverse passion ramp insane delirious hybridisation scotch harried incensed sweep devil chafe cover unbalanced get_across rage umbrageous angry nark harassed uneasy gravel galling crown_of_thorns infuriated madness nettlesome traverse demented crisscross grouchy unquiet irritate cross spoil hybridise ill-tempered intersect get_at furore hybridization blistering live huffy teasing overstrung queasy fad pissed_off pass_over miffed anxious
